"","Year","Breaks"
"1","2004",150
"2","2005",209
"3","2006",152
"4","2007",246
"5","2008",193
"6","2009",172
"7","2010",250
"8","2011",184
"9","2012",187
"10","2013",206
"11","2014",201
"12","2015",197
"13","2016",106
